AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
E12000004,East Midlands,10/4/2022,,14929,3764576
E12000005,West Midlands,10/4/2022,,19469,4445450
E12000006,East of England,10/4/2022,,18600,4894958
E12000007,London,10/4/2022,,23207,6452320
E12000008,South East,10/4/2022,,25409,7317306
E12000009,South West,10/4/2022,,11276,4603280
K02000001,United Kingdom,10/4/2022,32125,193583,52925734
E12000001,North East,9/4/2022,,8955,2084077
E12000002,North West,9/4/2022,,25763,5609918
E12000003,Yorkshire and The Humber,9/4/2022,,16732,4196975
E12000004,East Midlands,9/4/2022,,14916,3764570
E12000005,West Midlands,9/4/2022,,19455,4445552
E12000006,East of England,9/4/2022,,18583,4895038
E12000007,London,9/4/2022,,23196,6451403
E12000008,South East,9/4/2022,,25382,7317502
E12000009,South West,9/4/2022,,11254,4603601
K02000001,United Kingdom,9/4/2022,32125,193399,52910458
E12000001,North East,8/4/2022,916523,8948,2084077
E12000002,North West,8/4/2022,2507906,25748,5609918
E12000003,Yorkshire and The Humber,8/4/2022,1758598,16712,4196975
E12000004,East Midlands,8/4/2022,1546102,14905,3764570
E12000005,West Midlands,8/4/2022,1861380,19444,4445552
E12000006,East of England,8/4/2022,1976014,18560,4895038
E12000007,London,8/4/2022,2823873,23186,6451403
E12000008,South East,8/4/2022,2922901,25357,7317502
E12000009,South West,8/4/2022,1690368,11237,4603601
K02000001,United Kingdom,8/4/2022,32125,193236,52885279
E12000001,North East,7/4/2022,914716,8937,2084077
E12000002,North West,7/4/2022,2503877,25725,5609918
E12000003,Yorkshire and The Humber,7/4/2022,1755469,16688,4196975
E12000004,East Midlands,7/4/2022,1543338,14893,3764570
E12000005,West Midlands,7/4/2022,1857976,19430,4445552
E12000006,East of England,7/4/2022,1972124,18542,4895038
E12000007,London,7/4/2022,2820027,23178,6451403
E12000008,South East,7/4/2022,2916641,25318,7317502
E12000009,South West,7/4/2022,1686240,11206,4603601
K02000001,United Kingdom,7/4/2022,32063.4,193015,52873079
E12000001,North East,6/4/2022,912686,8932,2084141
E12000002,North West,6/4/2022,2499350,25706,5609983
E12000003,Yorkshire and The Humber,6/4/2022,1751879,16677,4197016
E12000004,East Midlands,6/4/2022,1540018,14873,3764516
E12000005,West Midlands,6/4/2022,1853813,19410,4445468
E12000006,East of England,6/4/2022,1967626,18514,4894925
E12000007,London,6/4/2022,2815702,23161,6451230
E12000008,South East,6/4/2022,2909670,25285,7317372
E12000009,South West,6/4/2022,1681472,11183,4603584
K02000001,United Kingdom,6/4/2022,31993.4,192796,52861739
E12000001,North East,5/4/2022,910389,8926,2084104
E12000002,North West,5/4/2022,2494521,25687,5609511
E12000003,Yorkshire and The Humber,5/4/2022,1747938,16657,4196899
E12000004,East Midlands,5/4/2022,1536261,14858,3764424
E12000005,West Midlands,5/4/2022,1849560,19391,4445246
E12000006,East of England,5/4/2022,1962772,18505,4894753
E12000007,London,5/4/2022,2810603,23143,6450627
E12000008,South East,5/4/2022,2901950,25256,7316912
E12000009,South West,5/4/2022,1676325,11165,4603451
K02000001,United Kingdom,5/4/2022,31917,192613,52849370
E12000001,North East,4/4/2022,908165,8914,2084089
E12000002,North West,4/4/2022,2489648,25668,5609172
E12000003,Yorkshire and The Humber,4/4/2022,1743906,16646,4196831
E12000004,East Midlands,4/4/2022,1532742,14841,3764324
E12000005,West Midlands,4/4/2022,1845196,19380,4445161
E12000006,East of England,4/4/2022,1958085,18488,4894652
E12000007,London,4/4/2022,2805965,23132,6449974
E12000008,South East,4/4/2022,2894303,25224,7316615
E12000009,South West,4/4/2022,1671176,11142,4603474
K02000001,United Kingdom,4/4/2022,31841.5,192420,52837997
E12000001,North East,3/4/2022,,8909,2083998
E12000002,North West,3/4/2022,,25650,5608594
E12000003,Yorkshire and The Humber,3/4/2022,,16631,4196442
E12000004,East Midlands,3/4/2022,,14827,3764076
E12000005,West Midlands,3/4/2022,,19364,4444807
E12000006,East of England,3/4/2022,,18467,4894282
E12000007,London,3/4/2022,,23125,6448525
E12000008,South East,3/4/2022,,25213,7316116
E12000009,South West,3/4/2022,,11113,4603199
K02000001,United Kingdom,3/4/2022,31628.6,192249,52826860
E12000001,North East,2/4/2022,,8899,2083924
E12000002,North West,2/4/2022,,25634,5608117
E12000003,Yorkshire and The Humber,2/4/2022,,16619,4196057
E12000004,East Midlands,2/4/2022,,14816,3763551
E12000005,West Midlands,2/4/2022,,19352,4444638
E12000006,East of England,2/4/2022,,18450,4893920
E12000007,London,2/4/2022,,23108,6447407
E12000008,South East,2/4/2022,,25194,7315529
E12000009,South West,2/4/2022,,11086,4602998
K02000001,United Kingdom,2/4/2022,31628.6,192073,52819360
E12000001,North East,1/4/2022,902347,8891,2083924
E12000002,North West,1/4/2022,2476284,25617,5608117
E12000003,Yorkshire and The Humber,1/4/2022,1732903,16593,4196057
E12000004,East Midlands,1/4/2022,1522513,14805,3763551
E12000005,West Midlands,1/4/2022,1832704,19339,4444638
E12000006,East of England,1/4/2022,1943575,18429,4893920
E12000007,London,1/4/2022,2790572,23099,6447407
E12000008,South East,1/4/2022,2871988,25172,7315529
E12000009,South West,1/4/2022,1655845,11059,4602998
K02000001,United Kingdom,1/4/2022,31628.6,191898,52808470
E12000001,North East,31/3/2022,899346,8886,2083924
E12000002,North West,31/3/2022,2468831,25597,5608117
E12000003,Yorkshire and The Humber,31/3/2022,1727431,16578,4196057
E12000004,East Midlands,31/3/2022,1517652,14788,3763551
E12000005,West Midlands,31/3/2022,1826980,19321,4444638
E12000006,East of England,31/3/2022,1936478,18406,4893920
E12000007,London,31/3/2022,2783058,23085,6447407
E12000008,South East,31/3/2022,2861188,25147,7315529
E12000009,South West,31/3/2022,1648264,11040,4602998
K02000001,United Kingdom,31/3/2022,31525.1,191700,52803478
E12000001,North East,30/3/2022,896324,8879,2084000
E12000002,North West,30/3/2022,2460879,25585,5608190
E12000003,Yorkshire and The Humber,30/3/2022,1721982,16562,4196040
E12000004,East Midlands,30/3/2022,1512546,14779,3763659
E12000005,West Midlands,30/3/2022,1820709,19307,4444717
E12000006,East of England,30/3/2022,1929494,18387,4894137
E12000007,London,30/3/2022,2775804,23071,6446965
E12000008,South East,30/3/2022,2849519,25125,7315770
E12000009,South West,30/3/2022,1639766,11012,4603192
K02000001,United Kingdom,30/3/2022,31414.2,191520,52798443
E12000001,North East,29/3/2022,892472,8872,2083973
E12000002,North West,29/3/2022,2452536,25568,5607808
E12000003,Yorkshire and The Humber,29/3/2022,1715384,16544,4195902
E12000004,East Midlands,29/3/2022,1506206,14770,3763573
E12000005,West Midlands,29/3/2022,1813870,19296,4444480
E12000006,East of England,29/3/2022,1920323,18370,4894084
E12000007,London,29/3/2022,2765899,23059,6446284
E12000008,South East,29/3/2022,2835895,25093,7315592
E12000009,South West,29/3/2022,1630749,10990,4603147
K02000001,United Kingdom,29/3/2022,31284.7,191343,52792930
E12000001,North East,28/3/2022,889514,8867,2083836
E12000002,North West,28/3/2022,2444507,25541,5607370
E12000003,Yorkshire and The Humber,28/3/2022,1709431,16520,4195676
E12000004,East Midlands,28/3/2022,1500718,14759,3763365
E12000005,West Midlands,28/3/2022,1807519,19283,4444235
E12000006,East of England,28/3/2022,1912391,18354,4893871
E12000007,London,28/3/2022,2758623,23049,6445573
E12000008,South East,28/3/2022,2824161,25076,7315340
E12000009,South West,28/3/2022,1622059,10968,4602950
K02000001,United Kingdom,28/3/2022,31164.5,191159,52788065
E12000001,North East,27/3/2022,,8862,2083714
E12000002,North West,27/3/2022,,25519,5607001
E12000003,Yorkshire and The Humber,27/3/2022,,16505,4195410
E12000004,East Midlands,27/3/2022,,14746,3763203
E12000005,West Midlands,27/3/2022,,19270,4443952
E12000006,East of England,27/3/2022,,18335,4893638
E12000007,London,27/3/2022,,23040,6444740
E12000008,South East,27/3/2022,,25056,7315030
E12000009,South West,27/3/2022,,10953,4602760
K02000001,United Kingdom,27/3/2022,30844.9,190987,52783242
E12000001,North East,26/3/2022,,8855,2083673
E12000002,North West,26/3/2022,,25505,5606170
E12000003,Yorkshire and The Humber,26/3/2022,,16493,4195007
E12000004,East Midlands,26/3/2022,,14732,3762738
E12000005,West Midlands,26/3/2022,,19261,4443548
E12000006,East of England,26/3/2022,,18320,4893299
E12000007,London,26/3/2022,,23034,6443292
E12000008,South East,26/3/2022,,25035,7314337
E12000009,South West,26/3/2022,,10930,4602432
K02000001,United Kingdom,26/3/2022,30844.9,190833,52775615
E12000001,North East,25/3/2022,881312,8852,2083673
E12000002,North West,25/3/2022,2423809,25491,5606170
E12000003,Yorkshire and The Humber,25/3/2022,1693646,16479,4195007
E12000004,East Midlands,25/3/2022,1485510,14724,3762738
E12000005,West Midlands,25/3/2022,1789808,19246,4443548
E12000006,East of England,25/3/2022,1890836,18300,4893299
E12000007,London,25/3/2022,2734852,23027,6443292
E12000008,South East,25/3/2022,2789767,25015,7314337
E12000009,South West,25/3/2022,1597794,10910,4602432
K02000001,United Kingdom,25/3/2022,30844.9,190678,52764899
E12000001,North East,24/3/2022,878598,8848,2083673
E12000002,North West,24/3/2022,2416247,25469,5606170
E12000003,Yorkshire and The Humber,24/3/2022,1687879,16468,4195007
E12000004,East Midlands,24/3/2022,1480295,14713,3762738
E12000005,West Midlands,24/3/2022,1783981,19225,4443548
E12000006,East of England,24/3/2022,1883007,18281,4893299
E12000007,London,24/3/2022,2727735,23017,6443292
E12000008,South East,24/3/2022,2778114,24996,7314337
E12000009,South West,24/3/2022,1588662,10895,4602432
K02000001,United Kingdom,24/3/2022,30729.6,190503,52759213
E12000001,North East,23/3/2022,874664,8842,2083662
E12000002,North West,23/3/2022,2407419,25459,5605996
